actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
10,173695.06897408966,3,100,300,0.3,2175138061.1092777,2174964366.0403037,2175137953.190217,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,5,100,500,0.2,2331839183.7175484,2331665488.6485744,2331839075.7984877,False,1587397044210.4824,427615218464.78394,16.001442538836933,1214874.1307053445,187.94243565966985,1.8044639501974853,1.804464332202931
10,173695.06897408966,5,300,1500,0.3,2412492295.9907007,2412318600.9217267,2412492188.07164,False,364190712839.8668,53219361827.894714,8.265697269117199,1214874.1307053445,187.94243565966985,3.2851532777059402,3.2851543602179873
10,173695.06897408966,2,300,600,0.3,2442594784.8344383,2442421089.7654643,2442594676.9153776,False,27371871970.09017,41290196989.38419,10.248094278121137,1214874.1307053445,187.94243565966985,0.16995502029524814,0.16995501942328275
10,173695.06897408966,2,100,200,0.2,2493344733.8802495,2493171038.8112755,2493344625.961189,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,3,300,900,0.3,2576190272.8551865,2576016577.7862124,2576190164.9361258,False,187066855507.539,17914091998.62432,9.009975257179866,1214874.1307053445,187.94243565966985,0.43385801291181186,0.4338582352423767
10,173695.06897408966,3,100,300,0.5,2759406349.990725,2759232654.921751,2759406242.0716643,False,11015086053.476963,394663260266.9177,20.57453432407268,1214874.1307053445,187.94243565966985,0.8231959924130972,0.823196131063021
10,173695.06897408966,3,200,600,0.3,2766292261.5717664,2766118566.5027924,2766292153.6527057,False,175477363573.82455,65797605085.895515,10.95432707728203,1214874.1307053445,187.94243565966985,0.39338990446324307,0.39339001071493734
10,173695.06897408966,1,50,50,0.01,2939449085.295124,2939275390.22615,2939448977.3760633,False,159685898007253.47,8568839115542.794,103.53090971920076,1214874.1307053445,187.94243565966985,10189.533367196667,10189.53390822485
10,173695.06897408966,2,100,200,0.5,3241561612.681927,3241387917.612953,3241561504.7628665,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,2,100,200,0.3,3408470053.542616,3408296358.473642,3408469945.623555,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
10,173695.06897408966,3,50,150,0.1,3555621440.3462453,3555447745.2772713,3555621332.4271846,False,16853651450.569666,478707679001.6278,30.37907471066413,1214874.1307053445,187.94243565966985,0.8820973084912845,0.8820973222463355
10,173695.06897408966,10,300,3000,0.05,3961822134.6367307,3961648439.5677567,3961822026.71767,False,443911898636.0867,245855567645.80133,34.468202879209144,1214874.1307053445,187.94243565966985,1.2114147686971959,1.211415269640716
10,173695.06897408966,2,200,400,0.3,4281736915.9161124,4281563220.8471384,4281736807.9970517,False,4898226578.087667,167257945788.49768,13.368296348041714,1214874.1307053445,187.94243565966985,0.33416323615931115,0.3341632549829735
10,173695.06897408966,1,200,200,0.1,4475371656.978863,4475197961.909888,4475371549.059802,False,175707871059.72705,500527641188.4961,19.800949587636076,1214874.1307053445,187.94243565966985,595.1964799427963,595.1965374916382
10,173695.06897408966,2,100,200,0.7,4791456757.148461,4791283062.079487,4791456649.229401,False,7775146312.391309,479427982438.7363,27.99500327675321,1214874.1307053445,187.94243565966985,0.7595291662279392,0.7595292041348403
