outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm,exact_linear_residual_norm
20,0.8,107.91906057411607,1.8731665622060783e-05,1.4985332497648626e-05,1.4089984833229457e-10
21,0.8,107.91906057412241,9.757283651054371e-06,7.805826920843495e-06,8.176665448213277e-11
22,0.8,107.91906057407283,7.751643876228075e-06,6.20131510098246e-06,5.947383435407219e-11
23,0.8,107.91906057411556,2.3598019346824913e-05,1.887841547745993e-05,2.441368940926351e-10
24,0.8,107.91906057413516,2.3855337102569882e-05,1.9084269682055908e-05,3.638537762857576e-10
25,0.8,107.91906057415447,9.00354056725691e-06,7.20283245380553e-06,4.1760776372817936e-11
26,0.8,107.91906057413456,7.514642136073279e-06,6.0117137088586235e-06,4.409220234003058e-11
27,0.8,107.91906057416988,3.0664006046345855e-05,2.4531204837076682e-05,2.1858513229702272e-10
28,0.8,107.91906057422105,1.7455456527857664e-05,1.3964365222286137e-05,1.4538790593980273e-10
29,0.8,107.919060574082,9.840686818060536e-06,7.872549454448428e-06,3.53672014769444e-11
30,0.8,107.91906057421201,9.040527663724817e-06,7.232422130979855e-06,1.4071858653866118e-10
31,0.8,107.91906057413325,3.1112611686259666e-06,2.4890089349007728e-06,1.647925297083233e-11
32,0.8,107.91906057416598,1.4209103355326585e-05,1.136728268426127e-05,8.126885825938022e-11
33,0.8,107.91906057419837,2.6228160726170698e-05,2.0982528580936555e-05,3.432974625236706e-10
34,0.8,107.91906057417776,7.536630165689012e-06,6.02930413255121e-06,5.886438827032557e-11
35,0.8,107.91906057407083,2.772264493721075e-05,2.21781159497686e-05,2.831426754421312e-10
36,0.8,107.91906057413763,1.4763545225210709e-05,1.1810836180168567e-05,1.175542564888921e-10
37,0.8,107.91906057409726,8.80722019145162e-06,7.045776153161294e-06,4.356770921959061e-12
38,0.8,107.919060574211,8.306674889787613e-06,6.6453399118300925e-06,7.546875948835083e-11
39,0.8,107.9190605741173,1.0955371867074086e-05,8.76429749365927e-06,1.4736352399045143e-10
40,0.8,107.91906057415493,1.6495780223819953e-05,1.3196624179055967e-05,1.556552434952448e-10
41,0.8,107.9190605741381,2.746972398105853e-05,2.1975779184846828e-05,4.160129834709784e-10
