outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
82,1,True,0.005356768211725769,3423.2463185068887,3393.2614973828095,29.98482112407919,67.88483707041786,0.4417013050053509,20.888278553080326,514.8875427897997,3.142227654411421e-11
83,1,True,0.005365259417029988,3393.2614973828095,3361.3057323493585,31.955765033450916,70.05320769384734,0.456164194123798,21.064383070318712,494.93887084440775,7.564576490315861e-11
84,1,True,0.0053688749114662185,3361.3057323493585,3332.272887937045,29.032844412313352,68.34927396315928,0.42477180413009585,21.020425341425437,497.15824551211796,7.085068778157057e-11
85,1,True,0.005387160763974305,3332.272887937045,3301.1351428227526,31.137745114292557,70.30949779283613,0.4428668400681593,21.128412918183,477.4969767462968,7.758602209411802e-11
86,1,True,0.005395198146850558,3301.1351428227526,3272.972318254442,28.162824568310498,68.16639274361131,0.4131482308919739,21.02736508107635,480.09740138537467,7.970009318561211e-11
87,1,True,0.005423475150887941,3272.972318254442,3242.636866541661,30.335451712780923,69.73382320520923,0.43501776209101944,21.049743322790892,460.88998035059603,2.5796928206424258e-11
88,1,True,0.005435380760372366,3242.636866541661,3215.254417804995,27.382448736666447,67.0809759278029,0.4081999159662987,20.878092192338848,463.7137052020274,7.182150677874339e-11
89,1,True,0.005469020234344899,3215.254417804995,3185.7252163683816,29.52920143661322,68.11049650280304,0.4335484683392077,20.81363072379669,445.15079269429214,3.639896014755525e-11
90,1,True,0.0054818587408032235,3185.7252163683816,3159.04338869546,26.681827672921372,64.98884723401903,0.41056010082533845,20.573858402467458,447.9818194741557,4.2239374597115875e-11
91,1,True,0.00551323576337376,3159.04338869546,3130.344731958715,28.698656736745306,65.44810190265464,0.43849486696238715,20.441699668729896,435.8648361787135,3.9710620267360646e-11
92,1,True,0.005523497730955572,3130.344731958715,3104.3094860954216,26.035245863293312,62.02941854052925,0.41972416437020454,20.151979419809486,432.83441891933205,6.3790026037669e-11
93,1,True,0.005546356806982494,3104.3094860954216,3076.4685200492395,27.840966046182075,62.00680995615204,0.44899852235375026,19.982083905817813,426.95606421952834,4.8707927213817494e-11
94,1,True,0.005552243156810963,3076.4685200492395,3051.0482384483635,25.420281600876024,58.52225875512938,0.43436945431720847,19.66595369824684,418.21186012328974,6.372893831847786e-11
95,1,True,0.005564799885484266,3051.0482384483635,3024.0725560714886,26.97568237687483,58.16052930524556,0.4638142516774149,19.483860802052817,418.42249381386534,5.856570371128613e-11
96,1,True,0.00556690925280392,3024.0725560714886,2999.2460192795015,24.82653679198711,54.80081617733971,0.45303224520683233,19.159352120431723,404.0160935486765,3.8357774569373475e-11
97,1,True,0.005571523528388829,2999.2460192795015,2973.119149176662,26.126870102839348,54.221672185712606,0.4818529021634226,18.977264565993615,410.2505926998975,7.166992626502652e-11
98,1,True,0.0055717898985035855,2973.119149176662,2948.8708087801588,24.24834039650341,51.08878270748647,0.47463139874245025,18.653086612035494,390.2452275149735,4.213992034706542e-11
99,1,True,0.005572517635217712,2948.8708087801588,2923.564980266715,25.305828513443885,50.363165772444255,0.5024669939888834,18.47104115500089,402.3957996526895,3.7583433820823444e-11
100,1,True,0.005572516965879356,2923.564980266715,2899.88635516367,23.67862510304485,47.48575138256811,0.4986469501615006,18.149784120883325,381.23790040028746,2.0618511575985318e-11
