cycle,sweep,cycle_start_residual,current_residual,residual_ratio,outer_sample,ratio_target
1,124,7276196.130319717,478390968.77766955,65.74739880694351,75,1.0
1,125,7276196.130319717,189889262.93813825,26.09732606668953,75,1.0
1,126,7276196.130319717,453930264.11168134,62.385655359146504,75,1.0
1,127,7276196.130319717,201728439.16496545,27.724436718296854,75,1.0
1,128,7276196.130319717,405786524.1734162,55.76904702754155,75,1.0
1,129,7276196.130319717,226466061.14315048,31.124238144086355,75,1.0
1,130,7276196.130319717,384062010.7006203,52.78335050648842,75,1.0
1,131,7276196.130319717,215675299.49381953,29.641215771398223,75,1.0
1,132,7276196.130319717,370480773.40398955,50.916820653061556,75,1.0
1,133,7276196.130319717,230599040.40303358,31.692251867996447,75,1.0
1,134,7276196.130319717,353189089.09308696,48.540347561737285,75,1.0
1,135,7276196.130319717,230955087.26201165,31.741184971585344,75,1.0
1,136,7276196.130319717,340147984.20638233,46.748050508011275,75,1.0
1,137,7276196.130319717,241918378.42370927,33.24791884259988,75,1.0
1,138,7276196.130319717,323058908.5370328,44.39942282353479,75,1.0
1,139,7276196.130319717,240678210.35048926,33.077477027809834,75,1.0
1,140,7276196.130319717,310993711.2697955,42.74124909496226,75,1.0
1,141,7276196.130319717,235287005.2967067,32.33653973623278,75,1.0
1,142,7276196.130319717,292741933.0460742,40.232826026531406,75,1.0
1,143,7276196.130319717,236845130.4765667,32.55067981051793,75,1.0
1,144,7276196.130319717,287923622.70112526,39.57062420312656,75,1.0
1,145,7276196.130319717,233801825.5653235,32.132424879406074,75,1.0
1,146,7276196.130319717,279413068.42642164,38.40098087270006,75,1.0
1,147,7276196.130319717,229845865.56761342,31.58873970010948,75,1.0
1,148,7276196.130319717,271810476.6948742,37.35612287335785,75,1.0
1,149,7276196.130319717,229939432.5692351,31.601599029344953,75,1.0
1,150,7276196.130319717,267500764.68020386,36.76381998081872,75,1.0
1,151,7276196.130319717,215695794.291318,29.64403246258293,75,1.0
1,152,7276196.130319717,260371521.98588657,35.78401644520346,75,1.0
1,153,7276196.130319717,226214702.69179592,31.08969283402975,75,1.0
1,154,7276196.130319717,252437583.23040414,34.693619950471565,75,1.0
1,155,7276196.130319717,212163135.6053341,29.158523465476133,75,1.0
1,156,7276196.130319717,245997577.42573494,33.808541306448504,75,1.0
1,157,7276196.130319717,215594289.9454382,29.630082268819347,75,1.0
1,158,7276196.130319717,239409795.053159,32.90315307136166,75,1.0
1,159,7276196.130319717,217706581.68646812,29.920383918637178,75,1.0
1,160,7276196.130319717,231436170.59275526,31.80730239367337,75,1.0
1,161,7276196.130319717,209500651.53771734,28.792606436862478,75,1.0
1,162,7276196.130319717,226309357.41571316,31.102701653778688,75,1.0
1,163,7276196.130319717,208893231.19977835,28.70912595790619,75,1.0
1,164,7276196.130319717,220327529.8961017,30.280592489529344,75,1.0
1,165,7276196.130319717,207422585.49347293,28.507008576795847,75,1.0
1,166,7276196.130319717,216972987.5079741,29.8195628075298,75,1.0
1,167,7276196.130319717,200280580.26088426,27.525451028775922,75,1.0
1,168,7276196.130319717,215000744.69954896,29.548508705482323,75,1.0
1,169,7276196.130319717,201329128.96028256,27.66955774066471,75,1.0
1,170,7276196.130319717,198299547.60204303,27.25318889848695,75,1.0
1,171,7276196.130319717,195513832.2678706,26.870335648756033,75,1.0
1,172,7276196.130319717,204456230.66440567,28.09932923776504,75,1.0
1,173,7276196.130319717,192905455.0612684,26.51185476672852,75,1.0
1,174,7276196.130319717,198591404.430457,27.293300080646787,75,1.0
1,175,7276196.130319717,182874553.9034598,25.13326340138446,75,1.0
1,176,7276196.130319717,192894042.72151,26.51028631811141,75,1.0
1,177,7276196.130319717,185599911.08571383,25.507821361813477,75,1.0
