outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
46,6394.750784161312,True,0.006118510355333651,1,37.24640730004307,975.1892703340012,1.0938984892713504e-10,418.75857064843444,197.15475692518157,0.4708076938458684,0.029908613783425974
47,6290.2540867210855,True,0.006169650447465347,1,31.74946036631378,952.3550511009469,1.1497264332903399e-10,262.206006114514,104.49669744022685,0.39852900011218545,0.016341011709017188
48,6205.363835937683,True,0.0061857206033123805,1,28.31401834329151,931.8074443932769,1.2966612618915543e-10,196.86747494010197,84.89025078340273,0.4312050571544694,0.013495520151182541
49,6129.113983130865,True,0.006185924746666178,1,25.406057749707568,908.3280569552448,7.036033369120077e-11,157.55340544625167,76.24985280681813,0.4839619466862636,0.01228773281031895
50,6065.156512558459,True,0.006185887327339276,1,23.212622915074647,888.0794688191329,6.679079419281521e-11,125.62595504174882,63.95747057240533,0.5091103231903835,0.010435027109698925
51,6001.865840119999,True,0.006164248268930043,1,21.524497614547087,869.4060265873768,1.1539945983889631e-10,109.89848539776062,63.290672438460206,0.5759012256573817,0.010435126003329197
52,5944.734308199236,True,0.006099465153221151,1,20.030126003389068,851.1779127930904,8.753149470290622e-11,93.73185779682612,57.13153192076334,0.6095209597211022,0.009518961843309226
53,5887.284134146013,True,0.005874452804099321,1,19.174050832268883,834.6192278257726,1.325132693352469e-10,86.20371977831613,57.450174053223236,0.6664465779546833,0.009664044021948207
54,5831.631527069798,True,0.005495841047448214,1,18.601744746895946,820.777300724742,8.250494190025917e-11,79.4505795182136,55.652607076214736,0.700468233380937,0.009453018710857157
55,5773.163735251847,True,0.004903149498546589,1,19.134819810052353,816.4667871512854,8.06231662319239e-11,79.22516564025943,58.467791817950456,0.7379951981853502,0.010025974985996515
56,5711.184615443838,True,0.004272639477113353,1,20.410023248925867,822.9316295926972,1.4170310581597618e-10,82.37822000503272,61.97911980800927,0.7523726514632484,0.010735728735624629
57,5642.011902900259,True,0.003710884508669942,1,23.174362439001,851.0335528357825,7.243821456417134e-11,91.71111676790015,69.17271254357911,0.754245668152089,0.012111797674431057
58,5567.376858919428,True,0.003397659687048655,1,26.346639966939428,897.1671270550883,1.7396244204748654e-10,103.7564647469369,74.63504398083114,0.7193290959061375,0.013228444970572505
59,5489.495135593397,True,0.0032924380961049785,1,29.94282239910277,954.6602794410064,1.0332195610499887e-10,118.5384778967524,77.88172332603062,0.6570163942366967,0.01398894403946398
60,5418.463049201146,True,0.0032910307330269446,1,32.32324758658458,977.682773295986,1.6184611633711076e-10,132.11227266619068,71.03208639225159,0.537664555750464,0.012939639190439549
61,5351.343270097811,True,0.0032988675750666367,1,35.53941370983117,952.7118437769298,1.3295901044823042e-10,154.92828503456553,67.11977910333462,0.4332312791583522,0.012387235733430021
62,5302.234037974437,True,0.0035961697846005427,1,37.95302291364953,902.799366072849,1.780937269190741e-10,178.04286237171806,49.10923212337366,0.27582814311782605,0.009176991578504372
